"collectionCode","catalogNumber","order","standardOrder","authority","Genus","standardGenus","family","standardFamily"
"Mammals","31139","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2510160326","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","22680","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13536","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13544","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13535","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","31141","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13529","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13533","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13532","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13531","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13530","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13548","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","31137","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3106070001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13540","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13541","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13534","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","32838","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13504","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13539","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13505","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13537","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13506","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","17276","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","33153","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13542","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13522","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13538","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3405090043","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13524","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13514","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13545","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13519","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13543","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13547","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13517","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13515","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13520","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13511","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13546","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13513","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13512","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13516","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13549","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13509","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13525","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13521","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13528","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13523","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13527","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13510","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13526","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13508","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13507","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","13518","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3209280001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88057","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88043","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88044","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88046","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88054","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88048","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","94129","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","16148","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10036","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10038","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","12999","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88912","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3608110002","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","16149","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","16147","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","15311","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","15310","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88899","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","20318","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3411130001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","79252","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","21512","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10039","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88907","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","90945","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","14252","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","33968","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","35760","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88886","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","61561","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","28217","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","28216","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","10035","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","3507310015","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2609010223","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2609010224","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2611080001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","2703070001","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
"Mammals","88855","Insectivora; Soricomorpha","Soricomorpha","ITIS","Blarina","Blarina","Soricidae","Soricidae"
