"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Mammals","42119",,"Indian Ocean","Africa","Africa"
"Mammals","42118",,"Indian Ocean","Africa","Africa"
"Mammals","42117",,"Indian Ocean","Africa","Africa"
"Mammals","42064",,"Indian Ocean","Africa","Africa"
"Mammals","42114",,"Indian Ocean","Africa","Africa"
"Mammals","51117",,"Indian Ocean","Africa","Africa"
"Mammals","42047",,"Indian Ocean","Africa","Africa"
"Mammals","51619",,"Indian Ocean","Africa","Africa"
"Mammals","42072",,"Indian Ocean","Africa","Africa"
"Mammals","42132",,"Indian Ocean","Africa","Africa"
"Mammals","51114",,"Indian Ocean","Africa","Africa"
"Mammals","42037",,"Indian Ocean","Africa","Africa"
"Mammals","51116",,"Indian Ocean","Africa","Africa"
"Mammals","51121",,"Indian Ocean","Africa","Africa"
"Mammals","51118",,"Indian Ocean","Africa","Africa"
"Mammals","51119",,"Indian Ocean","Africa","Africa"
"Mammals","51120",,"Indian Ocean","Africa","Africa"
"Mammals","42041",,"Indian Ocean","Africa","Africa"
"Mammals","42131",,"Indian Ocean","Africa","Africa"
"Mammals","42130",,"Indian Ocean","Africa","Africa"
"Mammals","51115",,"Indian Ocean","Africa","Africa"
"Mammals","46896",,"Indian Ocean","Africa","Africa"
"Mammals","42056",,"Indian Ocean","Africa","Africa"
"Mammals","42456",,"Indian Ocean","Africa","Africa"
"Mammals","51125",,"Indian Ocean","Africa","Africa"
"Mammals","51124",,"Indian Ocean","Africa","Africa"
"Mammals","51123",,"Indian Ocean","Africa","Africa"
"Mammals","42071",,"Indian Ocean","Africa","Africa"
"Mammals","51127",,"Indian Ocean","Africa","Africa"
"Mammals","42024",,"Indian Ocean","Africa","Africa"
"Mammals","51128",,"Indian Ocean","Africa","Africa"
"Mammals","42455",,"Indian Ocean","Africa","Africa"
"Mammals","42454",,"Indian Ocean","Africa","Africa"
"Mammals","42111",,"Indian Ocean","Africa","Africa"
"Mammals","42055",,"Indian Ocean","Africa","Africa"
"Mammals","51126",,"Indian Ocean","Africa","Africa"
"Mammals","51122",,"Indian Ocean","Africa","Africa"
"Mammals","46927",,"Indian Ocean","Africa","Africa"
"Mammals","42031",,"Indian Ocean","Africa","Africa"
"Mammals","42030",,"Indian Ocean","Africa","Africa"
"Mammals","42029",,"Indian Ocean","Africa","Africa"
"Mammals","42027",,"Indian Ocean","Africa","Africa"
"Mammals","42054",,"Indian Ocean","Africa","Africa"
"Mammals","42013",,"Indian Ocean","Africa","Africa"
"Mammals","42005",,"Indian Ocean","Africa","Africa"
"Mammals","42038",,"Indian Ocean","Africa","Africa"
"Mammals","46901",,"Indian Ocean","Africa","Africa"
"Mammals","46900",,"Indian Ocean","Africa","Africa"
"Mammals","46899",,"Indian Ocean","Africa","Africa"
"Mammals","46898",,"Indian Ocean","Africa","Africa"
"Mammals","42053",,"Indian Ocean","Africa","Africa"
"Mammals","42052",,"Indian Ocean","Africa","Africa"
"Mammals","42048",,"Indian Ocean","Africa","Africa"
"Mammals","42014",,"Indian Ocean","Africa","Africa"
"Mammals","42452",,"Indian Ocean","Africa","Africa"
"Mammals","42023",,"Indian Ocean","Africa","Africa"
"Mammals","42022",,"Indian Ocean","Africa","Africa"
"Mammals","42021",,"Indian Ocean","Africa","Africa"
"Mammals","42020",,"Indian Ocean","Africa","Africa"
"Mammals","42019",,"Indian Ocean","Africa","Africa"
"Mammals","42032",,"Indian Ocean","Africa","Africa"
"Mammals","42026",,"Indian Ocean","Africa","Africa"
"Mammals","42033",,"Indian Ocean","Africa","Africa"
"Mammals","42018",,"Indian Ocean","Africa","Africa"
"Mammals","42012",,"Indian Ocean","Africa","Africa"
"Mammals","42028",,"Indian Ocean","Africa","Africa"
"Mammals","42035",,"Indian Ocean","Africa","Africa"
"Mammals","42036",,"Indian Ocean","Africa","Africa"
"Mammals","42025",,"Indian Ocean","Africa","Africa"
"Mammals","42017",,"Indian Ocean","Africa","Africa"
"Mammals","42183",,"Indian Ocean","Africa","Africa"
"Mammals","42123",,"Indian Ocean","Africa","Africa"
"Mammals","42221",,"Indian Ocean","Africa","Africa"
"Mammals","42231",,"Indian Ocean","Africa","Africa"
"Mammals","42339",,"Indian Ocean","Africa","Africa"
"Mammals","42213",,"Indian Ocean","Africa","Africa"
"Mammals","42219",,"Indian Ocean","Africa","Africa"
"Mammals","42184",,"Indian Ocean","Africa","Africa"
"Mammals","42218",,"Indian Ocean","Africa","Africa"
"Mammals","42182",,"Indian Ocean","Africa","Africa"
"Mammals","42245",,"Indian Ocean","Africa","Africa"
"Mammals","42181",,"Indian Ocean","Africa","Africa"
"Mammals","42180",,"Indian Ocean","Africa","Africa"
"Mammals","42154",,"Indian Ocean","Africa","Africa"
"Mammals","42164",,"Indian Ocean","Africa","Africa"
"Mammals","42243",,"Indian Ocean","Africa","Africa"
"Mammals","42209",,"Indian Ocean","Africa","Africa"
"Mammals","42232",,"Indian Ocean","Africa","Africa"
"Mammals","42234",,"Indian Ocean","Africa","Africa"
"Mammals","42207",,"Indian Ocean","Africa","Africa"
"Mammals","42215",,"Indian Ocean","Africa","Africa"
"Mammals","42224",,"Indian Ocean","Africa","Africa"
"Mammals","42220",,"Indian Ocean","Africa","Africa"
"Mammals","42208",,"Indian Ocean","Africa","Africa"
"Mammals","42246",,"Indian Ocean","Africa","Africa"
"Mammals","42210",,"Indian Ocean","Africa","Africa"
"Mammals","42211",,"Indian Ocean","Africa","Africa"
"Mammals","42212",,"Indian Ocean","Africa","Africa"
"Mammals","42214",,"Indian Ocean","Africa","Africa"
"Mammals","42216",,"Indian Ocean","Africa","Africa"
"Mammals","42217",,"Indian Ocean","Africa","Africa"
"Mammals","42205",,"Indian Ocean","Africa","Africa"
"Mammals","42191",,"Indian Ocean","Africa","Africa"
"Mammals","42186",,"Indian Ocean","Africa","Africa"
"Mammals","42197",,"Indian Ocean","Africa","Africa"
"Mammals","42721",,"Indian Ocean","Africa","Africa"
"Mammals","42335",,"Indian Ocean","Africa","Africa"
"Mammals","42194",,"Indian Ocean","Africa","Africa"
"Mammals","42156",,"Indian Ocean","Africa","Africa"
"Mammals","42192",,"Indian Ocean","Africa","Africa"
"Mammals","42201",,"Indian Ocean","Africa","Africa"
"Mammals","42190",,"Indian Ocean","Africa","Africa"
"Mammals","42189",,"Indian Ocean","Africa","Africa"
"Mammals","42187",,"Indian Ocean","Africa","Africa"
"Mammals","42242",,"Indian Ocean","Africa","Africa"
"Mammals","42241",,"Indian Ocean","Africa","Africa"
"Mammals","42240",,"Indian Ocean","Africa","Africa"
"Mammals","42193",,"Indian Ocean","Africa","Africa"
"Mammals","42196",,"Indian Ocean","Africa","Africa"
"Mammals","42206",,"Indian Ocean","Africa","Africa"
"Mammals","42244",,"Indian Ocean","Africa","Africa"
"Mammals","42226",,"Indian Ocean","Africa","Africa"
"Mammals","42237",,"Indian Ocean","Africa","Africa"
"Mammals","42248",,"Indian Ocean","Africa","Africa"
"Mammals","42247",,"Indian Ocean","Africa","Africa"
"Mammals","42199",,"Indian Ocean","Africa","Africa"
"Mammals","42340",,"Indian Ocean","Africa","Africa"
"Mammals","42185",,"Indian Ocean","Africa","Africa"
"Mammals","42338",,"Indian Ocean","Africa","Africa"
"Mammals","42337",,"Indian Ocean","Africa","Africa"
"Mammals","42336",,"Indian Ocean","Africa","Africa"
"Mammals","42203",,"Indian Ocean","Africa","Africa"
"Mammals","42202",,"Indian Ocean","Africa","Africa"
"Mammals","42286",,"Indian Ocean","Africa","Africa"
